id,Direcci�n_,Colonia_y/,Nivel_m�ni,Nivel_m�xi,Total_de_e,Total_de_0,Mecanismo_,Origen_de_,Sistema_af,Tipo_de_si,Valor_de_p,Fuente,Municipio,Registro_d,Registro_0,Con_regist,Promedio_d,Evaluaci�n,Acciones_d,Acciones_0,Nivel_de_p,Nivel_de_r,Fecha_de_i,layer,path,NOMBRE,x,y
SRI-260,Av. Las Torres y Puerto Guaymas,Av. Las Torres y Puerto Guaymas,S/D,40 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y equipamiento urbano,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661673.856,2283341.318
SRI-261,L�pez Portillo y Bondad,L�pez Portillo y Bondad,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,662208.228,2281320.675
SRI-262,Perla y del Arroyo,Perla y del Arroyo,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y vivienda,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661208.319,2282642.846
SRI-263,Puerto Guerrero Negro y del Arroyo,Puerto Guerrero Negro y del Arroyo,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y vivienda,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661313.428,2282516.421
SRI-264,Guadalupe y Puerto Chamela,Guadalupe y Puerto Chamela,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,660334.152,2282730.752
SRI-265,Granate y Puerto Miravalle,Granate y Puerto Miravalle,S/D,30 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y vivienda,Recurrente,Baja,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661423.126,2282542.819
SRI-266,Magnetita y Platino,Magnetita y Platino,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,660235.103,2282823.474
SRI-267,Jacarandas y de las Rosas,Jacarandas y de las Rosas,S/D,40 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,659175.279,2283661.388
SRI-268,Av. Las Torres e Higuerillas,Av. Las Torres e Higuerillas,S/D,40 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,662991.728,2281750.329
SRI-269,Pir�mides del Sol y Arroyo,Pir�mides del Sol y Arroyo,S/D,30 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y vivienda,Recurrente,Baja,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,663227.799,2281544.246
